caption,image_id,funny_score
#Ad Saucy Nuggs so good you’ll want them all for yourself! 🔥🔥🔥🤣🏈 @wendys 7 New Flavors that you don’t want to miss!! Which one’s your favorite?,wendys_0,0.0
Can’t believe this is real (still) life. The Saucy Nugg legacy is forever cemented in oil on canvas (2024). Thank you,wendys_1,1.0
I love the arts @noahverrier,wendys_2,0.0
It always works!,wendys_3,1.0
Alpha moves only,wendys_4,1.0
can feel my heart rate decreasing,wendys_5,1.0
I’m just a girl,wendys_6,1.0
friends send friends frosty stickers on WhatsApp. we don’t make the rules.,wendys_7,1.0
Whats yours,wendys_8,0.0
Text me when you wanna get @wendys ,wendys_9,0.0
"The Lonely Ghost Way

Lonely Ghost x @wendys drops 07.31.24, 9AM MST

Limited time only at participating U.S. Wendy’s® from 07.31.24-08.07.24.  Includes 10 PC Spicy Ghost Pepper Nuggs with Ghost Pepper Ranch Dipping Sauce, Medium Fry and Medium Soft Drink.  The Wendy’s name, design and logo are registered trademarks of Quality Is Our Recipe, LLC.",wendys_10,0.0
👻🔥🫢,wendys_11,1.0
that’s where the protein is,wendys_12,1.0
literally never washing this again,wendys_13,1.0
whatchall want?,wendys_14,1.0
"when u wanna win, u go messy 😤",wendys_15,0.5
@svg97 you asked for some sauce for your race in Chicago. This work?,wendys_16,1.0
kinda wanna see it chill on a bench.,wendys_17,1.0
literal chills,wendys_18,1.0
Beef is out now!!,wendys_19,1.0
The more you know.,wendys_20,1.0
time for a short 48 hour nap,wendys_21,1.0
did someone say SAUCY Nuggs in the app?!,wendys_22,1.0
something saucy is coming,wendys_23,1.0
Meeting with our fashion designer as we speak,wendys_24,1.0
Please sign the petition to make “in glish moo fern” official,wendys_25,1.0
being out of breath is a good thing right?,wendys_26,1.0
seriously how did people live back then?,wendys_27,1.0
2. Try cognitive therapy,wendys_28,1.0
Chili and the Cinnabon Pull-Apart get a certified “Ben said it smacked” status.,wendys_29,1.0
@jason.kelce,wendys_30,1.0
am I going to jail?,wendys_31,1.0
ru from the midwest or ru clueless ?,wendys_32,0.0
it’s the vegas thing but better,wendys_33,0.0
No human person could ever come up with this except maybe one really talented person @nbapaints,wendys_34,1.0
chivalry is dead,wendys_35,1.0
had it made from the start,wendys_36,1.0
Tag this person,wendys_37,1.0
try it 😉,wendys_38,0.0
still counts,wendys_39,1.0
📸🤨🫵,wendys_40,1.0
Vanilla Frosty is back for a bit. Stans say your piece.,wendys_41,1.0
Valentine’s Day is meant to be celebrated with the one you love most. And no love is as pure as the love between a,wendys_42,1.0
Get a Frosty Key Tag. Get free Frosty’s all year. BE ENLIGHTENED.,wendys_43,1.0
tag ur aunties,wendys_44,1.0
My hands so her hands look like can look like this this,wendys_45,1.0
All hail the return of vanilla frosty.,wendys_46,1.0
I can feel the sun on my face 🥺,wendys_47,1.0
can’t wait til my fries hear this news too,wendys_48,1.0
Teaching my nuggets how to survive in the real world,wendys_49,1.0
❄️🥶,wendys_50,1.0
new years resolution,wendys_51,1.0
I’m a jolly happy soul that the children know. Who am I?,wendys_52,1.0
it’s chili time,wendys_53,0.0
I mean they have TISSUES. Jeez come on,wendys_54,1.0
My paycheck goes straight to the add to cart savings,wendys_55,1.0
Coming for our job tbh @southernboyzoutdoors1,wendys_56,0.0
✋🛑🚫❗❗❗ NO SESAME SEEDS❗❗❗🚫🛑✋,wendys_57,1.0
"Put it in the cupholder where i can see it, Emma.",wendys_58,1.0
Muah,wendys_59,1.0
"I have become no soda, destroyer of worlds",wendys_60,1.0
Microdosing alchemy at 2pm on a Tuesday.,wendys_61,1.0
🏃‍♂️🚪💨,wendys_62,1.0
"getting engraved wine glasses with all of these
#bravo #bravocon #bravocon2023 @bravotv",wendys_63,0.0
"@bravoandy we need Real Housewives of Columbus
#bravo #bravocon #bravocon2023 @bravotv",wendys_64,0.0
Love to see all my queens in one palace 🥹 @lisabarlow14 #bravocon,wendys_65,1.0
It’s cool tho i got podcasts,wendys_66,1.0
I call the hot one,wendys_67,1.0
I need to go back.,wendys_68,1.0
I do not envy those who seek a quick answer to this quest.,wendys_69,1.0
I cannot forget again.,wendys_70,1.0
Solved it.,wendys_71,1.0
🌀🌀🌀And you also want pay for itttttttt🌀🌀🌀,wendys_72,1.0
One berg please. Thank.,wendys_73,1.0
Fine. I’ll go get it.,wendys_74,1.0
Please seek a life!,wendys_75,1.0
And I want it delivered.,wendys_76,1.0
Pretty sure we all learned this is AP Euro. @carterrthompson,wendys_77,0.0
✨🔥🎀💅💝💕,wendys_78,1.0
🤌🤌🤌,wendys_79,1.0
I am at peace 😌,wendys_80,1.0
idk she has high standards,wendys_81,1.0
